X,Y,OBJECTID,ID,CD,NANOS,VZMPAT,VZMMPPT,PCDIFMMPT,DSFAIXADIF
-42.544,-7.23399999999998,205,205,34571000,,2.35,5.18,-54.66,"-74,9% a -50%"
-42.6969999999999,-6.62199999999996,206,206,34600000,,16.33,37.24,-56.15,"-74,9% a -50%"
-43.0239999999999,-5.57199999999995,207,207,34660000,,401.63,539.47,-25.55,"-49,9% a -25%"
-42.811,-5.13499999999993,208,208,34690000,,418.47,603.83,-30.7,"-49,9% a -25%"
-41.7379999999999,-5.22299999999996,209,209,34750000,,11.32,27.96,-59.52,"-74,9% a -50%"
-42.2139999999999,-5.66599999999994,210,210,34770000,,43.25,78.09,-44.61,"-49,9% a -25%"
-42.6969999999999,-5.20299999999997,211,211,34789000,,64.11,104.7,-38.77,"-49,9% a -25%"
-42.3699999999999,-3.45399999999995,212,212,34879500,,494.98,703.12,-29.6,"-49,9% a -25%"
-42.23,-3.90299999999996,213,213,34940000,,60.72,90.12,-32.62,"-49,9% a -25%"
-41.9739999999999,-3.72399999999993,214,214,34980000,,87,131.48,-33.83,"-49,9% a -25%"
-40.4299999999999,-4.14399999999995,215,215,35235000,,3.14,10.03,-68.67,"-74,9% a -50%"
-40.318,-4.19499999999994,216,216,35240000,,3.58,6.18,-42.1,"-49,9% a -25%"
-40.3799999999999,-3.90899999999993,217,217,35260000,,2.05,6.57,-68.72,"-74,9% a -50%"
-40.3389999999999,-3.68799999999993,218,218,35275000,,11.97,45.24,-73.53,"-74,9% a -50%"
-39.085,-3.40799999999996,219,219,35570000,,2.41,13.79,-82.55,-100% a -75%
-38.78,-4.19299999999993,220,220,35740000,,0.47,2.14,-78,-100% a -75%
-38.943,-4.65799999999996,221,221,35830000,,0.46,4.62,-90.13,-100% a -75%
-40.162,-6.32399999999996,222,222,36020000,,0.56,6.45,-91.27,-100% a -75%
-39.9619999999999,-6.64599999999996,223,223,36045000,,0.07,1.74,-95.79,-100% a -75%
-39.509,-6.55799999999994,224,224,36125000,,3.9,5.6,-30.31,"-49,9% a -25%"
-39.4999999999999,-6.53399999999993,225,225,36130000,,5.48,10.7,-48.78,"-49,9% a -25%"
-39.2929999999999,-6.37399999999997,226,226,36160000,,5.75,28.19,-79.6,-100% a -75%
-39.1439999999999,-7.22199999999998,227,227,36210000,,2.04,4.59,-55.49,"-74,9% a -50%"
-38.985,-7.29999999999995,228,228,36250000,,1.07,3.25,-66.96,"-74,9% a -50%"
-38.867,-6.40699999999993,229,229,36290000,,13.89,25.49,-45.51,"-49,9% a -25%"
-38.633,-5.89999999999998,230,230,36320000,,20.08,55,-63.5,"-74,9% a -50%"
-38.198,-5.22799999999995,231,231,36390000,,10.88,76.18,-85.71,-100% a -75%
-39.292,-5.20099999999996,232,232,36520000,,0.91,11.77,-92.3,-100% a -75%
-38.446,-5.12199999999996,233,233,36580000,,4.2,24.77,-83.04,-100% a -75%
-37.5149999999999,-5.44999999999993,234,234,37084000,,2.01,7.46,-73.1,"-74,9% a -50%"
-37.2549999999999,-5.64399999999995,235,235,37185000,,1.02,4.23,-75.96,-100% a -75%
-38.381,-6.91899999999993,236,236,37220000,,0.51,2.11,-75.64,-100% a -75%
